location,total_sqft,bhk,bath,metro_dist,price
Manikonda,2363,3,3.0,4.0,144.16
Uppal,2056,3,4.0,0.1,116.38
Miyapur,2485,3,4.0,0.2,151.62
Kondapur,3200,4,4.0,2.0,262.91
Gachibowli,1306,2,2.0,1.5,121.83
Ameerpet,3872,4,5.0,0.0,268.96
Jubilee Hills,3989,4,4.0,2.5,759.71
Miyapur,2996,4,4.0,0.2,194.52
Miyapur,854,1,1.0,0.2,65.58
Kukatpally,3183,4,4.0,0.5,218.24
Jubilee Hills,1497,2,2.0,2.5,269.51
Kukatpally,1421,2,3.0,0.5,115.57
Jubilee Hills,3090,4,5.0,2.5,540.74
Gachibowli,2697,3,3.0,1.5,248.3
Ameerpet,3897,4,4.0,0.0,277.56
Jubilee Hills,3662,4,5.0,2.5,652.28
Miyapur,2378,3,3.0,0.2,147.96
Madhapur,3181,4,4.0,1.0,342.39
Uppal,2093,3,3.0,0.1,113.27
Kondapur,2097,3,3.0,2.0,174.47
Miyapur,2235,3,3.0,0.2,146.2
Kukatpally,1631,2,2.0,0.5,130.76
Manikonda,3847,4,4.0,4.0,236.96
Miyapur,3584,4,4.0,0.2,202.97
Manikonda,1729,2,2.0,4.0,102.85
Kukatpally,2436,3,3.0,0.5,169.83
Ameerpet,2985,4,4.0,0.0,214.65
Uppal,1619,2,3.0,0.1,87.95
Manikonda,3828,4,4.0,4.0,241.52
Kondapur,3348,4,5.0,2.0,294.23
Kondapur,1676,2,2.0,2.0,140.09
Miyapur,2301,3,3.0,0.2,142.12
Madhapur,2268,3,3.0,1.0,248.09
Gachibowli,1840,3,3.0,1.5,186.14
Manikonda,1263,2,2.0,4.0,88.62
Miyapur,3295,4,4.0,0.2,199.93
Jubilee Hills,2496,3,4.0,2.5,485.94
Madhapur,2433,3,4.0,1.0,243.8
Manikonda,3354,4,5.0,4.0,217.25
Ameerpet,1267,2,2.0,0.0,103.4
Miyapur,2967,4,4.0,0.2,189.16
Kondapur,3412,4,4.0,2.0,271.94
Jubilee Hills,1803,3,3.0,2.5,349.17
Gachibowli,1784,2,2.0,1.5,159.93
Banjara Hills,1239,2,3.0,3.0,184.0
Miyapur,1331,2,2.0,0.2,96.36
Kukatpally,1453,2,2.0,0.5,107.14
Banjara Hills,2991,4,5.0,3.0,499.16
Jubilee Hills,3568,4,4.0,2.5,639.86
Gachibowli,1249,2,2.0,1.5,111.44
Madhapur,872,1,1.0,1.0,84.85
Gachibowli,2343,3,3.0,1.5,222.3
Kukatpally,2422,3,3.0,0.5,169.14
Kukatpally,1983,3,4.0,0.5,137.59
Uppal,1185,2,2.0,0.1,64.62
Banjara Hills,1883,3,4.0,3.0,287.26
Uppal,3634,4,4.0,0.1,167.68
Kondapur,3225,4,5.0,2.0,262.51
Miyapur,1500,2,2.0,0.2,99.83
Gachibowli,1846,3,3.0,1.5,180.04
Manikonda,3042,4,4.0,4.0,192.13
Banjara Hills,2070,3,4.0,3.0,305.38
Manikonda,3522,4,4.0,4.0,233.44
Manikonda,3180,4,4.0,4.0,188.32
Gachibowli,2039,3,3.0,1.5,183.77
Banjara Hills,3201,4,4.0,3.0,514.74
Kondapur,2766,3,3.0,2.0,255.29
Banjara Hills,3072,4,4.0,3.0,415.06
Miyapur,3571,4,4.0,0.2,211.58
Madhapur,3301,4,4.0,1.0,311.2
Kukatpally,3911,4,4.0,0.5,249.3
Manikonda,2663,3,3.0,4.0,162.98
Miyapur,2574,3,4.0,0.2,159.13
Jubilee Hills,3124,4,4.0,2.5,565.28
Ameerpet,2915,4,4.0,0.0,229.03
Uppal,3864,4,4.0,0.1,184.87
Kukatpally,2908,4,4.0,0.5,218.94
Miyapur,1098,2,2.0,0.2,73.8
Miyapur,1457,2,2.0,0.2,87.21
Manikonda,3098,4,4.0,4.0,202.25
Kondapur,2852,4,4.0,2.0,239.49
Ameerpet,1983,3,3.0,0.0,167.53
Jubilee Hills,2907,4,5.0,2.5,549.87
Banjara Hills,3126,4,4.0,3.0,460.63
Kondapur,3901,4,5.0,2.0,327.73
Gachibowli,3403,4,5.0,1.5,340.76
Manikonda,1717,2,2.0,4.0,127.35
Madhapur,2457,3,3.0,1.0,237.37
Manikonda,3712,4,5.0,4.0,260.87
Kondapur,2033,3,3.0,2.0,154.7
Manikonda,2059,3,3.0,4.0,131.75
Banjara Hills,1535,2,3.0,3.0,246.51
Manikonda,825,1,1.0,4.0,60.54
Manikonda,1866,3,3.0,4.0,114.98
Madhapur,2539,3,3.0,1.0,258.83
Miyapur,3590,4,4.0,0.2,225.37
Gachibowli,2314,3,3.0,1.5,188.32
Madhapur,1799,2,2.0,1.0,182.17
Jubilee Hills,1646,2,2.0,2.5,297.81
Manikonda,2871,4,4.0,4.0,165.99
Ameerpet,2178,3,3.0,0.0,174.93
Ameerpet,3356,4,4.0,0.0,269.4
Jubilee Hills,830,1,1.0,2.5,155.32
Banjara Hills,3125,4,4.0,3.0,505.78
Kukatpally,2423,3,3.0,0.5,165.08
Banjara Hills,2496,3,4.0,3.0,400.86
Kukatpally,2857,4,4.0,0.5,193.02
Uppal,932,1,1.0,0.1,65.34
Uppal,2679,3,3.0,0.1,127.04
Manikonda,1533,2,2.0,4.0,93.3
Madhapur,2790,3,3.0,1.0,284.22
Manikonda,3929,4,4.0,4.0,256.98
Miyapur,2465,3,3.0,0.2,141.9
Uppal,2819,4,4.0,0.1,146.25
Banjara Hills,2257,3,4.0,3.0,331.7
Kondapur,2136,3,4.0,2.0,172.59
Gachibowli,2869,4,4.0,1.5,251.95
Madhapur,1949,3,4.0,1.0,212.39
Banjara Hills,3321,4,4.0,3.0,555.26
Uppal,2652,3,3.0,0.1,133.91
Banjara Hills,3328,4,4.0,3.0,514.93
Madhapur,806,1,1.0,1.0,86.01
Gachibowli,1008,2,2.0,1.5,97.09
Miyapur,2060,3,3.0,0.2,137.38
Ameerpet,2795,3,3.0,0.0,202.98
Kukatpally,2264,3,3.0,0.5,164.64
Uppal,982,1,2.0,0.1,52.5
Manikonda,2659,3,3.0,4.0,164.73
Uppal,2114,3,3.0,0.1,128.72
Banjara Hills,2835,4,4.0,3.0,425.27
Kukatpally,2400,3,3.0,0.5,177.16
Kondapur,2067,3,3.0,2.0,170.56
Banjara Hills,1587,2,2.0,3.0,250.36
Miyapur,2995,4,5.0,0.2,185.49
Gachibowli,3652,4,4.0,1.5,367.04
Kukatpally,2650,3,4.0,0.5,182.23
Banjara Hills,1563,2,3.0,3.0,259.14
Madhapur,2994,4,4.0,1.0,310.26
Madhapur,2202,3,3.0,1.0,209.2
Kondapur,1456,2,2.0,2.0,131.45
Banjara Hills,3348,4,5.0,3.0,504.15
Ameerpet,1677,2,3.0,0.0,140.83
Miyapur,1433,2,3.0,0.2,90.06
Kondapur,2532,3,4.0,2.0,223.57
Kondapur,2189,3,4.0,2.0,172.42
Kondapur,1574,2,2.0,2.0,135.63
Banjara Hills,1891,3,3.0,3.0,312.31
Gachibowli,2274,3,3.0,1.5,200.72
Banjara Hills,3943,4,4.0,3.0,542.11
Banjara Hills,3300,4,4.0,3.0,474.9
Miyapur,1612,2,2.0,0.2,103.98
Madhapur,2132,3,3.0,1.0,216.42
Ameerpet,3954,4,4.0,0.0,280.41
Madhapur,3933,4,4.0,1.0,368.51
Miyapur,1931,3,4.0,0.2,126.99
Manikonda,1625,2,3.0,4.0,112.19
Kukatpally,2613,3,3.0,0.5,196.84
Kondapur,1983,3,4.0,2.0,187.5
Kondapur,1765,2,2.0,2.0,142.71
Uppal,3241,4,4.0,0.1,145.1
Kukatpally,3201,4,4.0,0.5,217.5
Ameerpet,3572,4,5.0,0.0,278.22
